Category|Subcategory|Region|Language(s)|Title|Brief description|URL|Source type|Update cadence|Ingestion / license notes|AI-safe fit
Daily news & current affairs|Germany: regional public-service news|Germany/Bavaria|de|BR24 RSS – Aktuell|Bayerischer Rundfunk current affairs feed with Bavaria, Germany and world news.|https://www.br.de/nachrichten/aktuell-100~rss.xml|News feed|Continuous|RSS snippets/links; verify broadcaster terms for full text.|C – licensed/metadata-only
Daily news & current affairs|Germany: science news|Germany|de|Science Media Center Germany|Expert briefings and evidence-oriented science journalism resources for current news.|https://www.sciencemediacenter.de/|Science news / expert briefings|Regular|Check reuse terms; useful for links, summaries and expert context.|B – terms-check/variable
Daily news & current affairs|Germany: technology news|Germany|de|heise online Newsticker|German technology, IT security, science and digital policy news.|https://www.heise.de/newsticker/|News site|Continuous|Copyrighted publisher content; use metadata/links unless licensed.|C – licensed/metadata-only
Daily news & current affairs|International: API-enabled news|United Kingdom/Global|en|The Guardian Open Platform|API for Guardian articles, sections and tags with registration and terms.|https://open-platform.theguardian.com/|News API|Continuous|API access has explicit terms and is not for unrestricted bulk training; follow license limits.|B – terms-check/variable
Daily news & current affairs|International: Australian public media|Australia|en|ABC News Australia|Australian public broadcaster news with domestic and international coverage.|https://www.abc.net.au/news|News site|Continuous|Copyrighted content; check ABC terms for reuse.|C – licensed/metadata-only
Daily news & current affairs|International: Canadian public media|Canada|en/fr|CBC News|Canadian public broadcaster news covering Canada and global affairs.|https://www.cbc.ca/news|News site|Continuous|Copyrighted content; check CBC terms for reuse.|C – licensed/metadata-only
Daily news & current affairs|International: European news|Europe|multi|Euronews|Pan-European news outlet with multilingual coverage of Europe and world events.|https://www.euronews.com/|News site|Continuous|Copyrighted content; check use rights before full-text ingestion.|C – licensed/metadata-only
Daily news & current affairs|International: French news|France/Global|fr/en|Le Monde RSS feeds|Le Monde's RSS feed guide for French and international news sections.|https://www.lemonde.fr/en/about-us/article/2026/03/27/le-monde-rss-feeds_6751860_115.html|News feed directory|Continuous|RSS terms restrict non-personal/professional reuse without authorization.|C – licensed/metadata-only
Daily news & current affairs|International: French public media|France/Global|fr/en/es/ar|France 24|French international news channel covering global politics, business, culture and sport.|https://www.france24.com/en/|News site|Continuous|Copyrighted journalism; use links/metadata unless licensed.|C – licensed/metadata-only
Daily news & current affairs|International: U.S. newspaper|United States/Global|en|The New York Times Developer APIs|APIs for selected NYT content, metadata and archives under developer terms.|https://developer.nytimes.com/|News API|Continuous|API use subject to NYT terms; no unrestricted full-text ingestion/training.|B – terms-check/variable
Daily news & current affairs|International: academic journalism|Global|en + regional editions|The Conversation|Evidence-based articles written by academics and edited by journalists.|https://theconversation.com/|News / analysis|Daily|Many articles use Creative Commons terms; verify edition and article license.|B – terms-check/variable
Daily news & current affairs|International: financial news|United Kingdom/Global|en|Financial Times|Global business, markets, economics and policy journalism.|https://www.ft.com/|News site|Continuous|Subscription/copyrighted content; full-text ingestion requires license.|C – licensed/metadata-only
Daily news & current affairs|International: global news|Qatar/Global|en|Al Jazeera English|International news organization covering global politics, conflict, economy and culture.|https://www.aljazeera.com/|News site|Continuous|Copyrighted journalism; ingest only under terms or as links/metadata.|C – licensed/metadata-only
Daily news & current affairs|International: humanitarian news|Global|en/fr/es/ar|ReliefWeb|UN OCHA humanitarian news, reports, situation updates and disaster information.|https://reliefweb.int/|Humanitarian news/data|Continuous|Generally open humanitarian information; check document-specific source rights.|B – terms-check/variable
Daily news & current affairs|International: news agency|France/Global|fr/en/es/ar|Agence France-Presse (AFP)|International news agency for global text, photo, video and fact-checking coverage.|https://www.afp.com/|News agency|Continuous|Licensed content; use products only within AFP licensing terms.|C – licensed/metadata-only
Daily news & current affairs|International: news agency|United States/Global|en|Associated Press News|Global news agency site covering breaking news, politics, business, sports and more.|https://apnews.com/|News agency|Continuous|AP content is licensed; full-text ingestion requires appropriate rights.|C – licensed/metadata-only
Daily news & current affairs|International: news agency|United Kingdom/Global|en|Reuters|Global news agency covering markets, politics, business, technology and world events.|https://www.reuters.com/|News agency|Continuous|Reuters journalism is licensed/copyrighted; use only under terms or as links/metadata.|C – licensed/metadata-only
Daily news & current affairs|International: nonprofit investigative|United States|en|ProPublica|Nonprofit investigative journalism with data journalism projects and accountability reporting.|https://www.propublica.org/|News / investigations|Regular|Some content has permissive republication terms; verify page-level conditions.|B – terms-check/variable
Daily news & current affairs|International: open-source investigations|Global|en|Bellingcat|Open-source investigations and geolocation/verifications around conflict and public interest topics.|https://www.bellingcat.com/|Investigative journalism|Regular|Copyrighted articles; use for links/context unless reuse terms allow more.|C – licensed/metadata-only
Daily news & current affairs|International: policy news|United States/Europe|en|POLITICO|Political and policy news with U.S. and European editions.|https://www.politico.com/|News site|Continuous|Copyrighted publisher content; use links/metadata unless licensed.|C – licensed/metadata-only
Daily news & current affairs|International: public media|United States|en|NPR News|U.S. public radio news, analysis, culture and audio journalism.|https://www.npr.org/sections/news/|News site|Continuous|Copyrighted content; use RSS/links or licensed/authorized material.|C – licensed/metadata-only
Daily news & current affairs|International: public media|United States|en|PBS NewsHour|Public television news program with politics, world, science and education coverage.|https://www.pbs.org/newshour/|News site|Daily|Copyrighted program/journalism content; check reuse terms.|C – licensed/metadata-only
Daily news & current affairs|International: public-service news|United Kingdom/Global|en|BBC News RSS|BBC headline feed and directory for UK and world news.|https://feeds.bbci.co.uk/news/rss.xml|News feed|Continuous|RSS snippets/links; BBC content is copyrighted. Check terms for any full-text use.|C – licensed/metadata-only
Official news & institutional updates|Climate/weather|United States/Global|en|NOAA News|Official U.S. ocean, atmosphere, weather and climate news.|https://www.noaa.gov/news|Official news|Regular|U.S. government information is generally public domain; verify media exceptions.|A – high-fit/open
Official news & institutional updates|Cybersecurity|Germany/EU|de/en|BSI Presse|Official German Federal Office for Information Security news and warnings.|https://www.bsi.bund.de/DE/Service-Navi/Presse/Presse_node.html|Official cybersecurity updates|Regular|Official public information; verify reuse/copyright notices.|B – terms-check/variable
Official news & institutional updates|Cybersecurity|United States|en|CISA News & Events|Official U.S. cybersecurity, infrastructure security alerts, advisories and updates.|https://www.cisa.gov/news-events|Official cybersecurity updates|Daily/regular|U.S. government content generally public domain; check third-party exceptions.|A – high-fit/open
Official news & institutional updates|European Union|EU|multi|Council of the European Union Press|Official Council and European Council press releases and statements.|https://www.consilium.europa.eu/en/press/|Official press releases|Daily/regular|Official public material; check terms and attribution.|B – terms-check/variable
Official news & institutional updates|European Union|EU|multi|European Commission Press Corner|Official European Commission press releases, speeches, statements and daily news.|https://ec.europa.eu/commission/presscorner/home/en|Official press releases|Daily/regular|Official public material; reuse terms and media assets may vary.|B – terms-check/variable
Official news & institutional updates|European Union|EU|multi|European Parliament News|Official European Parliament news, press releases and legislative updates.|https://www.europarl.europa.eu/news/en|Official news|Daily/regular|Official public information; terms vary for photos/video.|B – terms-check/variable
Official news & institutional updates|Germany: economics ministry|Germany|de/en|BMWK News|Official Federal Ministry for Economic Affairs and Climate Action news and releases.|https://www.bmwk.de/Navigation/DE/Service/Presse/presse.html|Official press releases|Regular|Official public information; check reuse/copyright notices.|B – terms-check/variable
Official news & institutional updates|Germany: education/research ministry|Germany|de/en|BMBF Press|Official German education and research ministry press releases and policy news.|https://www.bmbf.de/bmbf/en/service/press/press_node.html|Official press releases|Regular|Official public information; check reuse/copyright notices.|B – terms-check/variable
Official news & institutional updates|Germany: federal government|Germany|de/en/fr|Bundesregierung.de|Official German Federal Government news, speeches, policy explainers and service information.|https://www.bundesregierung.de/|Official government site|Daily/regular|Official public information; check reuse/copyright notices.|B – terms-check/variable
Official news & institutional updates|Germany: finance ministry|Germany|de/en|BMF Newsroom|Official German Federal Ministry of Finance press releases and policy updates.|https://www.bundesfinanzministerium.de/Web/EN/Press/press.html|Official press releases|Regular|Official public information; check reuse/copyright notices.|B – terms-check/variable
Official news & institutional updates|Germany: foreign ministry|Germany/Global|de/en|Auswärtiges Amt – Press releases|Official German Federal Foreign Office press releases and diplomatic updates.|https://www.auswaertiges-amt.de/en/newsroom/news|Official press releases|Regular|Official public information; check terms and media rights.|B – terms-check/variable
Official news & institutional updates|International economy|Global|en|IMF News|Official International Monetary Fund news, releases and analysis.|https://www.imf.org/en/News|Official news|Daily/regular|Official public information; check copyright/reuse terms.|B – terms-check/variable
Official news & institutional updates|International economy|Global|en/fr|OECD Newsroom|Official OECD news releases, events and policy updates.|https://www.oecd.org/newsroom/|Official news|Daily/regular|Official public information; many datasets open, publications vary.|B – terms-check/variable
Official news & institutional updates|International economy|Global|en|World Bank News|Official World Bank press releases, features and development updates.|https://www.worldbank.org/en/news|Official news|Daily/regular|Official public information; check content reuse terms.|B – terms-check/variable
Official news & institutional updates|International health|Global|en|WHO Newsroom|World Health Organization disease outbreaks, statements, fact sheets and health news.|https://www.who.int/news-room|Official health news|Daily/regular|Official public material; check WHO copyright/reuse terms.|B – terms-check/variable
Official news & institutional updates|International security|NATO|en/fr|NATO Newsroom|Official NATO press releases, speeches and policy updates.|https://www.nato.int/cps/en/natohq/news.htm|Official news|Regular|Official public information; check terms for media assets.|B – terms-check/variable
Official news & institutional updates|International trade|Global|en/fr/es|WTO News|Official World Trade Organization news, disputes, trade data updates and announcements.|https://www.wto.org/english/news_e/news_e.htm|Official news|Regular|Official material; check WTO reuse/copyright terms.|B – terms-check/variable
Official news & institutional updates|Nuclear/energy|Global|en|IAEA News|Official International Atomic Energy Agency news and reports.|https://www.iaea.org/newscenter|Official news|Regular|Official material; check publication-specific rights.|B – terms-check/variable
Official news & institutional updates|Science/space|United States/Global|en|NASA News|Official NASA mission, science, aeronautics and spaceflight news.|https://www.nasa.gov/news/|Official news|Daily/regular|NASA material is often public domain, but third-party media may differ.|A – high-fit/open
Official news & institutional updates|United Nations|Global|multi|UN News|Official United Nations news service covering peace, development, humanitarian issues and climate.|https://news.un.org/|Official news|Daily|UN materials may have specific reuse rules; verify source/page terms.|B – terms-check/variable
General reference & knowledge|Books/archive|Global|multi|Internet Archive|Digital library of books, web archives, audio, video and software.|https://archive.org/|Archive|Continuous|Rights vary by item; public-domain/open items are ingestion-friendly.|B – terms-check/variable
General reference & knowledge|Gazetteer/geography|Global|multi|GeoNames|Geographical database of place names, coordinates and alternate names.|https://www.geonames.org/|Geospatial data|Regular|Open data with attribution; useful for place normalization.|A – high-fit/open
General reference & knowledge|German country reference|Germany|en/de|Facts about Germany|Officially supported reference portal on Germany's politics, society, culture and economy.|https://www.tatsachen-ueber-deutschland.de/en|Reference|Regular|Check site terms; useful official overview content.|B – terms-check/variable
General reference & knowledge|Library metadata|Global|multi|Open Library|Open book catalog and lending-oriented digital library metadata.|https://openlibrary.org/|Library catalog|Continuous|Metadata is open-oriented; book content rights vary.|B – terms-check/variable
General reference & knowledge|Library/archive|United States|en|Library of Congress Digital Collections|U.S. national library digital collections, maps, manuscripts and reference material.|https://www.loc.gov/collections/|Archive/reference|Regular|Many items public domain; rights statements vary by collection/item.|B – terms-check/variable
General reference & knowledge|Maps/geography|Global|en|Natural Earth|Public-domain vector and raster map data at multiple scales.|https://www.naturalearthdata.com/|Geospatial data|Versioned|Public-domain map data; high-fit for geographic basemaps.|A – high-fit/open
General reference & knowledge|Maps/geography|Global|multi|OpenStreetMap|Open collaborative geospatial database for roads, places, boundaries and points of interest.|https://www.openstreetmap.org/|Geospatial data|Continuous|Open Database License; comply with attribution and share-alike obligations.|A – high-fit/open
General reference & knowledge|Media repository|Global|multi|Wikimedia Commons|Open media repository with images, audio, video and metadata.|https://commons.wikimedia.org/|Media/reference|Continuous|Licenses vary by file; ingest only license-compatible media/metadata.|A – high-fit/open
General reference & knowledge|Open citations|Global|en|OpenCitations|Open bibliographic citation data and citation indexes.|https://opencitations.net/|Scholarly metadata|Regular|Open data; useful for citation graph ingestion.|A – high-fit/open
General reference & knowledge|Open dictionaries|Global|multi|Wiktionary|Open multilingual dictionary with lemmas, definitions, etymologies and translations.|https://www.wiktionary.org/|Dictionary/reference|Continuous|Open license; quality and coverage vary by language.|A – high-fit/open
General reference & knowledge|Open encyclopedia|Global|multi|Wikipedia|Open encyclopedia useful as a broad secondary reference and topic map.|https://www.wikipedia.org/|Reference|Continuous|Open license, but quality varies; use page citations and revision metadata.|A – high-fit/open
General reference & knowledge|Open global indicators|Global|en|Our World in Data|Research and data visualizations on health, economy, climate, population and society.|https://ourworldindata.org/|Data/reference|Regular|Open data/content terms; excellent for data-backed context.|A – high-fit/open
General reference & knowledge|Philosophy reference|Global|en|Internet Encyclopedia of Philosophy|Academic philosophy encyclopedia with peer-reviewed articles.|https://iep.utm.edu/|Reference encyclopedia|Regular|Check copyright/reuse terms before full-text ingestion.|B – terms-check/variable
General reference & knowledge|Philosophy reference|Global|en|Stanford Encyclopedia of Philosophy|Peer-reviewed academic encyclopedia for philosophy and related fields.|https://plato.stanford.edu/|Reference encyclopedia|Regular|High-quality but copyrighted; full ingestion requires permission.|C – licensed/metadata-only
General reference & knowledge|Public domain books|Global|en + multi|Project Gutenberg|Large collection of public-domain ebooks and texts.|https://www.gutenberg.org/|Text corpus|Regular|High-fit for public-domain text ingestion; verify country-specific copyright status.|A – high-fit/open
General reference & knowledge|Reference encyclopedia|Global|en|Encyclopaedia Britannica|Curated encyclopedia with expert-edited articles and educational references.|https://www.britannica.com/|Reference|Regular|Credible but copyrighted; do not bulk ingest full text without license.|C – licensed/metadata-only
General reference & knowledge|Structured data|Global|en|DBpedia|Structured knowledge graph extracted from Wikipedia.|https://www.dbpedia.org/|Knowledge graph|Regular|Open data; useful for semantic enrichment and linked-data pipelines.|A – high-fit/open
General reference & knowledge|Structured knowledge graph|Global|multi|Wikidata|Open structured knowledge base with entity IDs, statements, references and dumps.|https://www.wikidata.org/|Knowledge graph|Continuous|Open license; excellent for entity linking, not authoritative for every fact.|A – high-fit/open
General reference & knowledge|World facts|Global|en|CIA World Factbook|U.S. government country profiles, maps and comparative statistics.|https://www.cia.gov/the-world-factbook/|Reference/data|Regular|U.S. government public information; verify any map/media exceptions.|A – high-fit/open
Research & science|Biomedical literature|Europe/Global|en|Europe PMC|European full-text and metadata repository for biomedical research.|https://europepmc.org/|Research index/repository|Continuous|Metadata and open-access full text available; verify licenses.|B – terms-check/variable
Research & science|Biomedical literature|Global|en|PubMed|NIH bibliographic database for biomedical and life science literature.|https://pubmed.ncbi.nlm.nih.gov/|Research index|Continuous|Bibliographic metadata is high-fit; article full text depends on publisher/license.|B – terms-check/variable
Research & science|Biomedical open full text|Global|en|PubMed Central|Free full-text archive of biomedical and life sciences journal literature.|https://pmc.ncbi.nlm.nih.gov/|Open/full-text repository|Continuous|Articles have varying licenses; OA subset is best for ingestion.|B – terms-check/variable
Research & science|Books/life sciences|Global|en|NCBI Bookshelf|Free online biomedical books and reports hosted by NCBI.|https://www.ncbi.nlm.nih.gov/books/|Books/reference|Regular|Rights vary by title; many are freely readable but not always open-license.|B – terms-check/variable
Research & science|Earth/environment data|Germany/Global|en|PANGAEA|Data publisher for earth and environmental science datasets.|https://www.pangaea.de/|Data repository|Regular|Data licenses vary; cite datasets and follow terms.|B – terms-check/variable
Research & science|European open science|Europe|multi|OpenAIRE|European open science infrastructure for publications, data and projects.|https://www.openaire.eu/|Research infrastructure|Regular|Open science metadata; item licenses vary.|B – terms-check/variable
Research & science|French/open research|France/Global|fr/en|HAL|French open archive for scholarly documents and theses.|https://hal.science/|Repository|Continuous|Open archive; check license per record.|B – terms-check/variable
Research & science|German research projects|Germany|de/en|DFG GEPRIS|German Research Foundation database of funded projects, institutions and people.|https://gepris.dfg.de/|Research project database|Regular|Public project metadata; check DFG terms.|B – terms-check/variable
Research & science|German social sciences|Germany/Europe|de/en|GESIS|Leibniz Institute resources for social science data, surveys and methods.|https://www.gesis.org/en/home|Research data/institute|Regular|Dataset access and licenses vary; excellent curated metadata.|B – terms-check/variable
Research & science|High-energy physics data|Europe/Global|en|CERN Open Data Portal|Open datasets from CERN experiments, software and documentation.|https://opendata.cern.ch/|Data repository|Regular|Open data with experiment-specific licenses and citation requirements.|A – high-fit/open
Research & science|Life science preprints|Global|en|bioRxiv|Preprint server for biology research manuscripts before peer review.|https://www.biorxiv.org/|Preprint repository|Continuous|Preprints are not peer-reviewed; check license per article.|B – terms-check/variable
Research & science|Medical preprints|Global|en|medRxiv|Preprint server for health sciences and clinical research before peer review.|https://www.medrxiv.org/|Preprint repository|Continuous|Not peer-reviewed; medical claims require caution and license checks.|B – terms-check/variable
Research & science|Open policy guidance|Global|en|Sherpa Romeo|Publisher copyright and open-access self-archiving policy database.|https://v2.sherpa.ac.uk/romeo/|Policy database|Regular|Useful for determining safe ingestion/archive paths; check terms.|B – terms-check/variable
Research & science|Open repositories directory|Global|en|OpenDOAR|Directory of open access repositories worldwide.|https://v2.sherpa.ac.uk/opendoar/|Repository directory|Regular|Directory metadata; repository content licenses vary.|B – terms-check/variable
Research & science|Open repository|Europe/Global|multi|Zenodo|Open repository for research publications, software, datasets and reports.|https://zenodo.org/|Repository|Continuous|Licenses vary by deposited record; many are open.|B – terms-check/variable
Research & science|Open research aggregation|Global|en|CORE|Aggregator of open-access research papers from repositories and journals.|https://core.ac.uk/|Research aggregator|Regular|Open-access focus; verify article-level licenses and API terms.|B – terms-check/variable
Research & science|Open scholarly metadata|Global|en|OpenAlex|Open catalog of scholarly works, authors, institutions, venues and concepts.|https://openalex.org/|Scholarly metadata|Continuous|Open data; strong fit for research graph ingestion.|A – high-fit/open
Research & science|Open-access journals|Global|multi|Directory of Open Access Journals (DOAJ)|Curated directory of open-access scholarly journals and articles.|https://doaj.org/|Research index|Regular|Open access metadata/articles; licenses vary by journal/article.|A – high-fit/open
Research & science|Open-access publisher|Global|en|PLOS|Open-access journals across science, medicine and global health.|https://journals.plos.org/|Research publisher|Continuous|Articles generally CC BY; verify article license.|A – high-fit/open
Research & science|Open-access publisher|Global|en|eLife|Open-access life sciences and medicine research journal/platform.|https://elifesciences.org/|Research publisher|Regular|Open-access articles; verify license per article.|A – high-fit/open
Research & science|Preprints|Global|en|arXiv|Preprint repository for physics, mathematics, computer science and related fields.|https://arxiv.org/|Preprint repository|Continuous|Preprints are not peer-reviewed; licenses vary by submission.|B – terms-check/variable
Research & science|Research data metadata|Global|en|DataCite|DOI registry and metadata infrastructure for research datasets.|https://datacite.org/|Research data metadata|Continuous|Open metadata; dataset content licenses vary by repository.|B – terms-check/variable
Research & science|Research data repository|Global|en|Dryad|Curated open data repository for scientific and medical research data.|https://datadryad.org/|Data repository|Regular|Datasets generally open; verify dataset license and citation requirements.|A – high-fit/open
Research & science|Research data repository|Global|en|Harvard Dataverse|Research data repository platform and Harvard-hosted datasets.|https://dataverse.harvard.edu/|Data repository|Regular|Dataset licenses vary; metadata useful for discovery.|B – terms-check/variable
Research & science|Research evaluation/open data|Global|en|Leiden Ranking Open Data|Open data associated with CWTS Leiden Ranking methodology and university metrics.|https://www.leidenranking.com/information/open-data|Research metrics data|Periodic|Open data with methodology constraints and citation expectations.|B – terms-check/variable
Research & science|Research funder reports|Europe|en|CORDIS|European Commission information service for EU-funded research projects and results.|https://cordis.europa.eu/|Research project database|Regular|Official project metadata and reports; check reuse terms.|B – terms-check/variable
Research & science|Researcher identifiers|Global|en|ORCID|Persistent researcher identifiers and public profile metadata.|https://orcid.org/|Research metadata|Continuous|Public data available under ORCID terms; respect privacy and rate limits.|B – terms-check/variable
Research & science|Scholarly metadata|Global|en|Crossref|DOI metadata registry for scholarly publications.|https://www.crossref.org/|Scholarly metadata|Continuous|Metadata is generally reusable under Crossref terms; article text not included.|B – terms-check/variable
Research & science|Space/astronomy literature|Global|en|NASA ADS|Astrophysics Data System for astronomy and physics literature discovery.|https://ui.adsabs.harvard.edu/|Research index|Continuous|Bibliographic metadata useful; full text depends on publisher/license.|B – terms-check/variable
Health & medicine|Clinical guidance|United Kingdom|en|NICE Guidance|UK evidence-based clinical, public health and social care guidance.|https://www.nice.org.uk/guidance|Clinical guidance|Regular|Official guidance; check reuse terms and update cycles.|B – terms-check/variable
Health & medicine|Clinical trials|United States/Global|en|ClinicalTrials.gov|Registry and results database for clinical studies worldwide.|https://clinicaltrials.gov/|Clinical trials registry|Continuous|Official registry data; useful for structured ingestion.|A – high-fit/open
Health & medicine|Clinical trials Europe|EU|en|EU Clinical Trials Register|European clinical trials registry for selected EU/EEA clinical trial data.|https://www.clinicaltrialsregister.eu/|Clinical trials registry|Regular|Official registry information; check terms and update status.|B – terms-check/variable
Health & medicine|Clinical trials Germany|Germany|de/en|German Clinical Trials Register (DRKS)|German registry for clinical studies and trials.|https://www.drks.de/|Clinical trials registry|Regular|Registry metadata; check terms and privacy constraints.|B – terms-check/variable
Health & medicine|Disease classification|Global|en + multi|WHO ICD|International Classification of Diseases browser and coding resources.|https://icd.who.int/|Health classification|Versioned|Classification reuse may have terms; verify before bulk/model use.|B – terms-check/variable
Health & medicine|Drug approvals|United States|en|Drugs@FDA|FDA database of approved drug products, labels and approval history.|https://www.accessdata.fda.gov/scripts/cder/daf/|Drug database|Regular|Official U.S. government data; verify third-party content exceptions.|A – high-fit/open
Health & medicine|Drug labels|United States|en|DailyMed|Official U.S. drug labeling information from the National Library of Medicine.|https://dailymed.nlm.nih.gov/|Drug database|Continuous|Public drug labels; high-fit with attribution and freshness checks.|A – high-fit/open
Health & medicine|European disease control|EU/Europe|en|ECDC|European Centre for Disease Prevention and Control data, guidance and threat reports.|https://www.ecdc.europa.eu/en|Official health source|Regular|Official EU public health source; check reuse terms.|B – terms-check/variable
Health & medicine|European medicines|EU|en|European Medicines Agency|EU medicine evaluations, safety information, EPARs and regulatory guidance.|https://www.ema.europa.eu/en|Regulatory health source|Regular|Official EU source; verify reuse terms and document licenses.|B – terms-check/variable
Health & medicine|Evidence reviews|United Kingdom/Global|en|Cochrane Library|Systematic reviews and clinical evidence summaries.|https://www.cochranelibrary.com/|Evidence reviews|Regular|Highly credible but largely copyrighted/licensed; use only under terms.|C – licensed/metadata-only
Health & medicine|Food safety EU|EU|en|European Food Safety Authority|EU risk assessments, scientific opinions and data on food and feed safety.|https://www.efsa.europa.eu/en|Official science/regulation|Regular|Official EU source; check reuse terms per publication.|B – terms-check/variable
Health & medicine|Food safety Germany|Germany|de/en|BfR|German Federal Institute for Risk Assessment opinions on food, chemicals and consumer health.|https://www.bfr.bund.de/|Official science/regulation|Regular|Official public information; check reuse terms.|B – terms-check/variable
Health & medicine|Food/consumer protection Germany|Germany|de/en|BVL|German Federal Office of Consumer Protection and Food Safety data and alerts.|https://www.bvl.bund.de/|Official health/food source|Regular|Official public information; check reuse terms.|B – terms-check/variable
Health & medicine|Germany health education|Germany|de|BZgA|Federal Centre for Health Education materials on prevention, health literacy and campaigns.|https://www.bzga.de/|Health education|Regular|Official materials; check rights, especially brochures/media.|B – terms-check/variable
Health & medicine|Germany health evidence|Germany|de/en|IQWiG – gesundheitsinformation.de|Evidence-based German patient information from the Institute for Quality and Efficiency in Health Care.|https://www.gesundheitsinformation.de/|Health reference|Regular|Credible public information; check copyright/reuse terms.|B – terms-check/variable
Health & medicine|Germany health portal|Germany|de|gesund.bund.de|Official German federal health portal with patient information and service guidance.|https://gesund.bund.de/|Health reference|Regular|Official public information; check reuse and medical disclaimer terms.|B – terms-check/variable
